keywords,label
"혼자,자발적거리두기,집콕,혼자노는법,집순이,집에서노는법,집돌이,사회적거리두기,집에서놀기,아싸",0
"우울,외상,심리극,역할극,피해자,여성의성장,사회적거리두기,정서적학대,권계영,사별,성폭력,서울예술심리상담센터,가정폭력,이혼,트라우마,개인상담,공황,애도,불안,한국사이코드라마연구소,거리두기,건강염려증,집단상담",0
"집콕,혼자놀기,혼자,집돌이,집순이,집에서놀기,혼자노는법,사회적거리두기,아싸,자발적거리두기",0
"uncontact,필독서,마스크,차단,접속,변화,삶의방식,트렌드,김용섭,퍼블리온,소통,진화코드,사회적거리두기,코로나19,단절",0
"엄중한시기,사회적거리두기,궁금한,인생을여행처럼,배려와예의가필요한날들,어릴때는죽싫어해서,姐姐的厨房,여행하는,전복죽,건강하게,쿡스타그램,여름보양식,아는언니,모두안먹었는데,summer,夏天,아는언니네부엌,나이들었나보다,여름,부엌,unnine_kitchen,음식하는,열무물김치,맛스타그램,영양죽,잘먹고힘내서",0
"코로나챌린지,거리두기,covid,사회적거리두기,coronavirus,마스크착용,southkorea,코로나,distancelearning,강남역,k거리두기운동본부,생활속거리두기,covid19,daily,힘내라대한민국,사행시,socialdistancing,코로나19,응원합니다,challenge,covidchallenge,distancing",0
"팔공산,힐링,힘내세요_대한민국,힘내세요_경산,맞짱7,재충전시간,힘내세요_대구,산행,갓바위,대구프리마켓,혼산,풍경그램,힘내세요_질병관리본부,힘내세요,경산프리마켓,생활속거리두기,소원성취🙏,등산,산스타그램🌳🌲🌿,mazjjang7,나도베풀며살자,사회적거리두기,이겨내자코로나19,첫줄안녕🖐,힘내세요_경북",0
"코로나19,장성군코로나현황,장성군,마스크의무착용,장성군코로나19발생현황",0
"이리저리,장마전선,이기주의,사회적거리두기,무개념,한심하다",0
"완벽한,사회적거리두기",0
"사회적거리두기,집돌이,집순이,집에서놀기,혼자놀기,자발적거리두기,혼자노는법,아싸,혼자,집콕",0
"상암동,물리치료,여름휴가,도수치료,임시공휴일,허리통증,비말차단마스크,코로나19,디엠씨,디스크,수칙,통증치료,마스크판매,도수치료잘하는곳,예방,상암,디스크재활,클리닉,상암동병원,고주파치료,닥터척척,사회적거리두기,허리,통증,체형교정,도수,스트레칭,상암도수치료",0
"장성군,코로나19,사회적거리두기,장성군코로나19발생현황,마스크의무착용",0
사회적거리두기,0
"한심하다,사회적거리두기,장마전선,이기주의,이리저리,무개념",0
"확진자발생,마스크,코로나종식기원,코로나19_우리가이긴다,life,손씻기,신종코로나바이러스,함께해요docl,코로나19이겨내자,코로나19극복,safe,코로나19예방,코로나조심,doctors_on_the_cloud,korea,docl,진단,with_docl,코로나_19,확진자,확진,코로나19,covid_19,covid19,self_check_up,사회적거리두기,who,실시간정보,오늘도_check_up",0
"나부터,방역,코로나19,힘내자",0
"자존감,불안걱정,마음챙김,소소하지만단단하게,독서모임,아침편지,성공실패,사회적거리두기,자신감,배연국의행복편지,배연국,유명피서지,소확행,여름휴가,코로나백신,해외여행,편견선입견,긍정마인드,유럽여행,코로나19,대립갈등,코로나확진자,책추천,좋은글귀",0
"강남역,생활속거리두기,k거리두기운동본부,quarantine,마스크착용,사행시,코로나,daily,힘내라대한민국,socialdistancing,거리두기,응원합니다,covidchallenge,coronavirus,challenge,covid19,distancing,distancelearning,southkorea,covid,코로나19,코로나챌린지",0
"quarantine,daily,coronavirus,힘내라대한민국,covid,k거리두기운동본부,거리두기,생활속거리두기,사회적거리두기,covidchallenge,socialdistancing,challenge,강남역,distancelearning,코로나챌린지,distancing,응원합니다,covid19,southkorea,사행시,마스크착용,코로나19",0
"응원합니다,challenge,daily,covidchallenge,마스크착용,거리두기,k거리두기운동본부,quarantine,covid19,socialdistancing,코로나,사회적거리두기,distancelearning,코로나19,distancing,생활속거리두기,코로나챌린지,southkorea,coronavirus,covid,힘내라대한민국,사행시",0
"사회적거리두기,힘내자,코로나19,방역",0
"주차장거리두기,사회적거리두기,주차간격",0
"째즈와산조,더더욱없는,충주카페,충주,심각해진다는것이,jazzsanjo,충주까페,씁쓸하네,norwegianwood,월요일은쉽니다,일요일은조금일찍끝내고,생활속거리두기,심각한거없고,상실의시대,jazz와산조,반드시진실에가까워진다는것과,무라카미하루키,이제야조금은알겠어,사회적거리두기,재즈와산조,chungju,감자씨🐶,같은뜻이아니라는걸,마음속거리두기,근데아졸려,0726,村上春樹,거리두기풍년이로구나,꼭껴안고자야겠어",0
